                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62045,                 1.8662,                 1.2018,                 0.1129,                0.99897,                0.22691,                0.19383,                0.56916,                 2.5642,                0.71917,              0.0033305,              0.0033305,              0.0033305
                      2,                0.60768,                 1.5139,                 1.1543,                0.17647,                0.72534,                0.29437,                0.23724,                0.63319,                 2.4459,                0.73238,              0.0065319,              0.0065319,              0.0065319
                      3,                0.65456,                 1.5164,                 1.2026,                0.20568,                0.68971,                 0.2371,                0.18981,                0.68381,                 2.4731,                0.73384,              0.0096013,              0.0096013,              0.0096013
                      4,                0.64562,                  1.509,                 1.2045,                0.18535,                0.71926,                0.28856,                0.23511,                0.66819,                 2.1675,                0.72744,               0.009406,               0.009406,               0.009406
                      5,                0.59849,                 1.4574,                 1.1937,                0.19106,                0.72819,                0.27322,                0.22476,                0.64201,                 2.3347,                0.70762,               0.009208,               0.009208,               0.009208
                      6,                0.56608,                 1.4122,                 1.1774,                0.44011,                0.26352,                0.35082,                0.29434,                 0.6222,                 2.2283,                 0.6816,                0.00901,                0.00901,                0.00901
                      7,                0.54789,                 1.3935,                 1.1742,                0.40927,                0.39776,                0.36548,                 0.3048,                0.60469,                 2.1295,                 0.6782,               0.008812,               0.008812,               0.008812
                      8,                0.53338,                 1.3676,                 1.1675,                0.26102,                0.53381,                0.37664,                0.32274,                0.54224,                 1.7405,                0.64987,               0.008614,               0.008614,               0.008614
                      9,                0.51876,                 1.3455,                 1.1581,                0.40355,                0.45041,                0.35505,                0.30352,                0.56391,                 1.8943,                0.65671,               0.008416,               0.008416,               0.008416
                     10,                0.50576,                 1.3317,                 1.1566,                0.42019,                0.41964,                0.40904,                0.35419,                0.54844,                 1.7487,                0.64072,               0.008218,               0.008218,               0.008218
                     11,                0.49591,                 1.3099,                  1.153,                 0.2873,                0.58431,                0.37327,                 0.3201,                 0.5329,                  1.741,                 0.6539,                0.00802,                0.00802,                0.00802
